season,date,level,competition,city,country,continent,altitude_in_m,distance_moscow_km,segment,number,jump,edge,rotation,fall,bonus,combination,jump_number,jump_bv,goe_raw,goe_scaled,point_value
2019-2020,2019-10-05,Senior,INT,Saitama,Japan,Asia,20,7460,FP,4,2A,,,,,,1,3.30,2.29,0.75,4.05
2019-2020,2019-10-05,Senior,INT,Saitama,Japan,Asia,20,7460,FP,5,4T+1Eu+3S,,,,1,1,3,15.73,-0.43,-0.41,15.32
2019-2020,2019-10-05,Senior,INT,Saitama,Japan,Asia,20,7460,FP,6,3Lz+3Lo,,u,,1,1,2,10.80,-1.00,-0.59,10.21
2019-2020,2019-10-05,Senior,INT,Saitama,Japan,Asia,20,7460,FP,7,3Lz,,,,1,,1,6.49,2.29,1.26,7.75
2019-2020,2019-10-25,Senior,GP,Kelowna,Canada,North America,344,8080,SP,1,2A,,,,,,1,3.30,3.57,1.18,4.48
2019-2020,2019-10-25,Senior,GP,Kelowna,Canada,North America,344,8080,SP,2,3F,,,,,,1,5.30,2.71,1.44,6.74
2019-2020,2019-10-25,Senior,GP,Kelowna,Canada,North America,344,8080,SP,3,3Lz+3Lo,,,,1,1,2,11.88,3.71,2.19,14.07
2019-2020,2019-10-26,Senior,GP,Kelowna,Canada,North America,344,8080,FP,1,4S,,,1,,,1,9.70,-5.00,-4.85,4.85
2019-2020,2019-10-26,Senior,GP,Kelowna,Canada,North America,344,8080,FP,2,4Lz,,,,,,1,11.50,2.43,2.79,14.29
2019-2020,2019-10-26,Senior,GP,Kelowna,Canada,North America,344,8080,FP,3,4T+3T,,,,,1,2,13.70,3.29,3.12,16.82
2019-2020,2019-10-26,Senior,GP,Kelowna,Canada,North America,344,8080,FP,4,2A,,,,,,1,3.30,2.71,0.90,4.20
2019-2020,2019-10-26,Senior,GP,Kelowna,Canada,North America,344,8080,FP,5,4T+1Eu+3S,,,,1,1,3,15.73,1.86,1.76,17.49
2019-2020,2019-10-26,Senior,GP,Kelowna,Canada,North America,344,8080,FP,6,3Lz+3Lo,,,,1,1,2,11.88,2.43,1.43,13.31
